Dataset,EvidenceSource,Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,BaselineTimelyCeiling,EmergencyFeasibility,NlosBlindGnssOverlap,CostGainTradeoff,StrongerBaselineDecision,ApplicabilityClass,ApplicabilityNote
Main,Step58+Step59,10006,Reference,Mixed,Medium,Mixed,Default,LowBaselineCeiling,EmergencyNeutral,NlosEmergencyOverlap,CostlySmallGain,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=NlosEmergencyOverlap; cost=CostlySmallGain."
Main,Step58+Step59,10006,Reference,Mixed,Medium,Mixed,ForestGeometry,ModerateBaselineCeiling,EmergencyNeutral,NlosEmergencyOverlap,CostlySmallGain,StrongerBaselineNonnegative,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineNonnegative; overlap=NlosEmergencyOverlap; cost=CostlySmallGain."
HeldOut,Step58+Step59,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,LowBaselineCeiling,EmergencyNeutral,ModerateOverlap,CostlySmallGain,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=ModerateOverlap; cost=CostlySmallGain."
HeldOut,Step58+Step59,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,ModerateBaselineCeiling,EmergencyNeutral,ModerateOverlap,CostlySmallGain,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=ModerateOverlap; cost=CostlySmallGain."
Main,Step58+Step59,10011,Boundary,Open,Low,Sparse,Default,HighBaselineCeiling,EmergencyNeutral,LowOverlapOpenRoad,CostSavingOrNeutral,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=LowOverlapOpenRoad; cost=CostSavingOrNeutral."
Main,Step58+Step59,10011,Boundary,Open,Low,Sparse,ForestGeometry,LowBaselineCeiling,EmergencyNeutral,LowOverlapOpenRoad,EfficientGain,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=LowOverlapOpenRoad; cost=EfficientGain."
HeldOut,Step58+Step59,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,HighBaselineCeiling,EmergencyNeutral,HighBlindVegetationOverlap,CostlySmallGain,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=HighBlindVegetationOverlap; cost=CostlySmallGain."
HeldOut,Step58+Step59,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,HighBaselineCeiling,EmergencySaturatedOrHard,HighBlindVegetationOverlap,CostInefficientBoundary,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=HighBlindVegetationOverlap; cost=CostInefficientBoundary."
Main,Step58+Step59,10014,Primary,CurvedBlind,Medium,Dense,Default,LowBaselineCeiling,EmergencyNeutral,HighBlindVegetationOverlap,CostSavingOrNeutral,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=HighBlindVegetationOverlap; cost=CostSavingOrNeutral."
Main,Step58+Step59,10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,ModerateBaselineCeiling,EmergencyImproved,HighBlindVegetationOverlap,EfficientGain,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=HighBlindVegetationOverlap; cost=EfficientGain."
