Parameter,Layer,Role,DefaultValue,ForestValue,ChangedInForest,CredibilityAction,Priority,EvidenceStatus
utility_emergency_urgency_threshold,Core-method,"Maps state risk to timely/protection requirements.","0.8","0.8",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_activation_blind,Core-method,"Maps state risk to timely/protection requirements.","0.22","0.22",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_activation_pos,Core-method,"Maps state risk to timely/protection requirements.","0.45","0.45",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_base,Core-method,"Maps state risk to timely/protection requirements.","0","0",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_blind_scale,Core-method,"Maps state risk to timely/protection requirements.","0.35","0.35",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_blind_shape,Core-method,"Maps state risk to timely/protection requirements.","1.2","1.2",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_link_scale,Core-method,"Maps state risk to timely/protection requirements.","0.1","0.1",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_max,Core-method,"Maps state risk to timely/protection requirements.","0.82","0.82",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_min,Core-method,"Maps state risk to timely/protection requirements.","0.08","0.08",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_pos_scale,Core-method,"Maps state risk to timely/protection requirements.","0.55","0.55",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_protection_pos_shape,Core-method,"Maps state risk to timely/protection requirements.","1.35","1.35",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
